"Hugo_symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"THNSL2"	0.0473799065016287	7.50339238622314	0.125105196508231	0.901126440492368	0.984452682078141	-5.89381307218088
"UTP20"	0.0446456435857074	6.97629802319905	0.124935317520701	0.90125998338207	0.984452682078141	-5.89383328193018
"BMP4"	0.0160041138222238	3.88467106163766	0.124810588842644	0.901358035196355	0.984452682078141	-5.89384810288033
"CSPG4"	-0.0115356085377107	3.58822090443375	-0.124677737640722	0.901462474019966	0.984452682078141	-5.89386387272721
"KIT"	0.0213855530574283	3.92097892294531	0.124668249877883	0.901469932739252	0.984452682078141	-5.89386499831193
"FANCA"	0.0273715947822559	4.47641643341088	0.124555947760997	0.901558218724883	0.984452682078141	-5.89387831481914
"CDC42BPA"	0.0291771546068027	8.39986112784305	0.124536071680892	0.901573844380117	0.984452682078141	-5.89388067042671
"PDZK1IP1"	0.0638975995386488	6.51165131783747	0.124535951140119	0.901573939143822	0.984452682078141	-5.89388068471142
"DYDC2"	0.0393637404984348	5.94385295210449	0.124462170533048	0.901631942394174	0.984452682078141	-5.89388942550438
"POLE2"	0.0313796105453328	5.19136812688927	0.124219440258888	0.901822770717238	0.984587748483845	-5.89391814525464
"NUDT3"	0.0334597551128759	8.6407764611577	0.124111269567952	0.901907813647308	0.984607309510175	-5.89393092592492
"ECT2"	0.0396021208821349	6.63393006304283	0.123997782485694	0.90199703754195	0.984631431619061	-5.89394432278397
"XCR1"	-0.0198241839106403	4.54686220688411	-0.123837401240189	0.902123131971028	0.984635205049384	-5.89396323449939
"LRFN4"	-0.0123325151530249	4.86807245165988	-0.123822623609261	0.902134750522135	0.984635205049384	-5.89396497580656
"ACVR1C"	-0.0202598745252738	4.1044369620439	-0.123636500516524	0.9022810871227	0.98472165073778	-5.89398688965771
"KLHL10"	0.0148463054031036	3.63009232361868	0.123354706642761	0.902502650076553	0.984844227174175	-5.89402000496227
"PAPD4"	-0.0351942177714246	8.45930681396721	-0.123303250280289	0.902543108956344	0.984844227174175	-5.89402604375955
"MALL"	0.0272144842565591	5.55986309882934	0.12321744029002	0.902610579840105	0.984844227174175	-5.89403610861827
"DDX10"	0.040572075877618	8.75117588147434	0.12315208128493	0.902661970966022	0.984844227174175	-5.89404377003534
"CCNI"	0.055752303023219	15.0444948316858	0.122949949048263	0.902820908190653	0.984883743362411	-5.89406743838031
"GRB2"	-0.0242430740130732	8.07681409872408	-0.122935232816923	0.902832479768951	0.984883743362411	-5.89406916003645
"ADAD2"	-0.013046907403492	4.09118203503129	-0.122779335720744	0.90295506515339	0.98491983553502	-5.89408738583867
"ASF1A"	-0.0213269526280548	6.39369001542067	-0.122722368800271	0.902999860122372	0.98491983553502	-5.89409404003037
"RNASEN"	-0.027791094686525	5.67112905934265	-0.122581291227889	0.903110795456008	0.984920274123792	-5.89411050573687
"TAT"	0.0167763261042055	3.72492579811359	0.122551073336971	0.903134557333311	0.984920274123792	-5.89411403012261
"SLC47A2"	0.0217316514670181	4.60992941852496	0.122337421520237	0.903302565290557	0.984925330108942	-5.89413892408248
"CRY2"	-0.0157621451806715	3.7339052984741	-0.122321321395314	0.903315226021467	0.984925330108942	-5.8941407982541
"CRHR2"	-0.0168379109193157	4.3394142402939	-0.122289007197545	0.903340637166321	0.984925330108942	-5.894144559118
